Question	Answer	Source	Metadata
Meet Surface Pro 4	**Meet Surface Pro 4**\n\n*Get acquainted with the features built in to your Surface Pro 4.*  \n\n*Here’s a quick overview of Surface Pro 4 features:*  	activeLearningSampleFAQ.tsv	
Ports and connectors	**Ports and connectors**\n\n*Surface Pro 4 has the ports you expect in a full-feature laptop.*	activeLearningSampleFAQ.tsv	
Full-size USB 3.0 port	**Full-size USB 3.0 port**\n\n*Connect a USB accessory like a mouse, printer, Ethernet adapter, USB drive, or smartphone. For more info, see Connect a USB mouse,*  \n\n*printer, and more on Surface.com.*	activeLearningSampleFAQ.tsv	
Surface Connect - Meet Surface Pro 4	**Surface Connect**\n\n*When your battery is low, attach the included power supply to the Surface Connect charging port. For more info, see Surface battery and power on Surface.com.*  \n\n*If you use the Surface Dock (sold separately), you connect your Surface to the dock through the Surface Connect charging and docking connector to transmit power and data. For more info, see*  \n\n*Using Surface Dock on Surface.com.*	activeLearningSampleFAQ.tsv	
MicroSD card slot	**MicroSD card slot**\n\n*Use the microSD card slot and a microSD card (sold separately) for file transfer and extra storage. For more info, see Surface storage options on Surface.com.*	activeLearningSampleFAQ.tsv	
Mini DisplayPort version 1.2	**Mini DisplayPort version 1.2**\n\n*Share what’s on your Surface screen by connecting it to an HDTV, monitor, or projector. (Video adapters are sold separately.) For more*  \n\n*info, see Connect Surface to a TV, monitor, or projector on*  \n\n*Surface.com.*	activeLearningSampleFAQ.tsv	
3.5 mm headset jack	**3.5 mm headset jack**\n\n*Plug in your favorite headset for a little more privacy when listening to music or conference calls. For more info, see Surface sound,*  \n\n*volume, and audio accessories on Surface.com.*	activeLearningSampleFAQ.tsv	
Cover connectors - Meet Surface Pro 4	**Cover connectors**\n\n*Click in the thin, light, Type Cover for Surface Pro 4 (sold separately) so you’ll always have a keyboard when you’re on the go. For more info, see Type Cover on Surface.com.*  	activeLearningSampleFAQ.tsv	
Charge your Surface Pro 4	**Charge your Surface Pro 4**\n\n1.  Connect the two parts of the power cord.\n2.  Connect the power cord securely to the charging port.\n3.  Plug the power supply into an electrical outlet.	activeLearningSampleFAQ.tsv	
Connect the Cover	**Connect the Cover**\n\n*If you have a Type Cover for Surface Pro 4 (sold separately), snap it into place and open the kickstand.*	activeLearningSampleFAQ.tsv	
Set up your Surface Pro 4 - Set up your Surface Pro 4 - User Guide	**Set up your Surface Pro 4**\n\n*Press the power button to turn on your Surface Pro 4. Windows starts and guides you through the setup process. For more info, see Set up your Surface on Surface.com.*	activeLearningSampleFAQ.tsv	
Power and charging	**Power and charging**\n\n*It takes two to four hours to charge the Surface Pro 4 battery fully from an empty state. It can take longer if you’re using your Surface for power-intensive activities like gaming or video streaming while you’re charging it.*  \n\n*You can use the USB port on your Surface Pro 4 power supply to charge other devices, like a phone, while your Surface charges. The USB port on the power supply is only for charging, not for data transfer. If you want to use a USB device, plug it into the USB port on your Surface.*	activeLearningSampleFAQ.tsv	
Check the battery level	**Check the battery level**\n\n*You can check the battery level from the lock screen or the desktop:*  \n\n*Lock screen.*  \n\n*When you wake your Surface, the battery status appears in the lower-right corner of the lock screen.*  \n\n*Desktop taskbar.*  \n\n*Battery status appears at the right side of the taskbar. Select the battery icon for info about the charging and battery status, including the percent remaining.*	activeLearningSampleFAQ.tsv	
Make your battery last	**Make your battery last**\n\n*For info on how to care for your battery and power supply, conserve power, and make your Surface battery last longer, see Surface battery and power on Surface.com.*	activeLearningSampleFAQ.tsv	
Keep your Surface up to date	**Keep your Surface up to date**\n\n*Microsoft releases important updates to improve Windows software security and reliability, and system and hardware updates (also known as firmware updates) to help improve the stability and performance of your Surface hardware. For info on keeping your Surface up to date, see Install*  \n\n*Surface and Windows updates on Surface.com.*	activeLearningSampleFAQ.tsv	
Get online - User Guide	**Get online**\n\n*Microsoft Edge works with Cortana to help you get the most from the Internet, and you can use your Surface Pen or touch to create Web Notes that you can save or share.*  \n\n*To open Microsoft Edge, select it from Start or the taskbar. Or, go to Start and select All apps > Microsoft Edge .*	activeLearningSampleFAQ.tsv	
Accounts and signing in	**Accounts and signing in**\n\n*When you set up your Surface, an account is set up for you. You can create additional accounts later for family and friends, so each person using your Surface can set it up just the way he or she likes. For more info, see All about accounts on Surface.com.*  \n\n*There are several ways to sign in to your Surface Pro 4:*	activeLearningSampleFAQ.tsv	
Browsing tips - Get online	**Browsing tips**\n\n*Icons at the upper right of the Microsoft Edge window put common tasks at your fingertips.*  \n\n*Select Add to favorites and reading list to add a page to your reading list or a favorites folder.*	activeLearningSampleFAQ.tsv	
Get to know Windows 10	**Get to know Windows 10**\n\n*Here are some of the basics about Windows 10. For more info, see Get Started with Windows 10 on Windows.com.*	activeLearningSampleFAQ.tsv	
Use Windows Hello to sign in	**Use Windows Hello to sign in**\n\n*Since Surface Pro 4 has an infrared (IR) camera, you can set up Windows Hello to sign in just by looking at the screen.*  \n\n*If you have the Surface Pro 4 Type Cover with Fingerprint ID (sold separately), you can set up your Surface sign you in with a touch.*  \n\n*For more info, see What is Windows Hello? on Windows.com.*	activeLearningSampleFAQ.tsv	
Sign out - Accounts and signing in	**Sign out**\n\n*Here's how to sign out:*  \n\n*Go to Start , and right-click your name. Then select Sign out .*	activeLearningSampleFAQ.tsv	
Go to Start	**Go to Start**\n\n*Select Start in the taskbar or press the Start*  \n\n*key on your keyboard to open the Start menu.*  \n\n*   At the lower left of the Start menu, you'll find quick links to File Explorer , Settings , Power (shut down, sleep, and restart), and All apps .\n*   The apps you've used most often appear at the upper left.\n*   Your name and profile picture appear at the top of the left side. Select them to change your account settings, lock the screen, or sign out.  \n\n*Tiles on Start act as quick links to apps. You can rearrange, resize, add, and remove tiles whenever you want. For more info, see Love it? Pin it on Windows.com.*  \n\nAction center	activeLearningSampleFAQ.tsv	
Search - Get to know Windows 10	**Search**\n\n*Swipe in from the right edge of the screen or select Action center in the taskbar to open the Action center.*  \n\n*Here you can adjust common settings like Wi-Fi connections or screen brightness, open OneNote, create a wireless connection to another screen, and more. If there are notifications waiting for you, they appear at the top of the Action center.*  \n\n*For more info, see Take action instantly on Windows.com.*  \n\n*Search is always ready for you. Just select the search box in the taskbar and enter your question.*  \n\n*Learn more at Search for anything, anywhere on Windows.com.*  \n\n*Or, go to Start and select Cortana . You can also open Cortana by holding down the top button on your Surface Pen for a second or two.*  \n\n*For more info, including tips on personalizing Cortana, see What is Cortana? on Windows.com.*	activeLearningSampleFAQ.tsv	
Task view and virtual desktops	**Task view and virtual desktops**\n\n*Swipe in from the left edge of the screen or select Task view from the taskbar to see all your open apps. Select an app to focus on or close an app by clicking the X in the upper-right corner of the app.*  \n\n*While you're in Task view, you can create a new virtual desktop by selecting New desktop in the lower-right corner. Each virtual desktop can have its own set of open apps. To switch between desktops, open Task view and select a desktop.*  \n\n*For more info, see Group apps into desktops on Windows.com.*	activeLearningSampleFAQ.tsv	
