Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
User Guide		https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[]	False	[{"DisplayOrder":0,"QnaId":27,"Qna":null,"DisplayText":"With Windows 10"},{"DisplayOrder":1,"QnaId":28,"Qna":null,"DisplayText":"✪ Meet Surface Book"},{"DisplayOrder":2,"QnaId":43,"Qna":null,"DisplayText":"Set up your Surface Book"},{"DisplayOrder":3,"QnaId":47,"Qna":null,"DisplayText":"The basics"},{"DisplayOrder":4,"QnaId":71,"Qna":null,"DisplayText":"Accounts and signing in"},{"DisplayOrder":5,"QnaId":78,"Qna":null,"DisplayText":"Get to know Windows 10"},{"DisplayOrder":6,"QnaId":84,"Qna":null,"DisplayText":"Keep your Surface Book up to date"},{"DisplayOrder":7,"QnaId":85,"Qna":null,"DisplayText":"Browse the Internet"},{"DisplayOrder":8,"QnaId":87,"Qna":null,"DisplayText":"Storage options"},{"DisplayOrder":9,"QnaId":90,"Qna":null,"DisplayText":"Surface Pen"},{"DisplayOrder":10,"QnaId":105,"Qna":null,"DisplayText":"Apps and the Windows Store"},{"DisplayOrder":11,"QnaId":112,"Qna":null,"DisplayText":"Connect devices and accessories"},{"DisplayOrder":12,"QnaId":125,"Qna":null,"DisplayText":"Surface audio features"},{"DisplayOrder":13,"QnaId":137,"Qna":null,"DisplayText":"Cameras and the Camera app"},{"DisplayOrder":14,"QnaId":146,"Qna":null,"DisplayText":"Personalization and settings"},{"DisplayOrder":15,"QnaId":153,"Qna":null,"DisplayText":"Accessibility"},{"DisplayOrder":16,"QnaId":169,"Qna":null,"DisplayText":"Clean and care for your Surface Book"},{"DisplayOrder":17,"QnaId":176,"Qna":null,"DisplayText":"Registration, repair, and warranty"},{"DisplayOrder":18,"QnaId":181,"Qna":null,"DisplayText":"More help"}]	26	Surface
With Windows 10	**With Windows 10**\n\nPublished: September 2016\n\nVersion 2.0\n\n✪\n\n© 2016 Microsoft. All rights reserved.\n\nBlueTrack Technology, Microsoft, OneNote, Outlook, PowerPoint, OneDrive, Windows, Xbox, and Xbox Live are registered trademarks of Microsoft Corporation.\n\nSurface and Skype are trademarks of Microsoft Corporation.\n\nBluetooth is a registered trademark of Bluetooth SIG, Inc.\n\nDolby and the double-D symbol are registered trademarks of Dolby Laboratories.\n\nThis document is provided “as-is.” Information in this document, including URL and other Internet website references, may change without notice.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[]	False	[]	27	Surface
✪ Meet Surface Book	**✪ Meet Surface Book**\n\nGet to know Surface Book, the ultra-thin, high-performance laptop with exceptional power and versatility. Use this guide to get started with your Surface Book. For more details and how-to info, go online to Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[{"ClusterHead":"book","TotalAutoSuggestedCount":3,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"book","AutoSuggestedCount":3,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":0,"QnaId":29,"Qna":null,"DisplayText":"Surface Book features"}]	28	Surface
Surface Book features	**Surface Book features**\n\n| Power button | Press the power button to turn your Surface Book on. You can also use the power button to put your Surface Book to sleep and wake it when you’re ready to start working again. |\n| --- | --- |\n| Clipboard | Detach the thin, light Clipboard from the keyboard for mobile computing and easy presentation in tablet mode.  Use the 13.5” full HD display, with its 3:2 aspect ratio and 3000 x 2000 resolution display, to watch HD movies, browse the web, and use your favorite apps. |\n\n|  | The 10-point multi-touch touchscreen lets you use your fingers to select, zoom, and move things around. |\n| --- | --- |\n| Keyboard | Mechanical friction attaches the Clipboard to the keyboard. The keyboard features a standard layout and backlit keys, with special shortcut and function keys to help you do common tasks more quickly. |\n| Surface Pen | Write naturally with the included Surface Pen. Quickly jot down notes or capture screenshots in OneNote, even while your Surface is locked. |\n| Wi-Fi and Bluetooth | Surface Book supports standard Wi-Fi protocols (802.11a/b/g/n/ac) and Bluetooth® 4.0. Connect to a wireless network and use Bluetooth devices such as mice, printers, and headsets. |\n| Cameras | Surface Book features an 8-megapixel rear camera with autofocus and a 5-megapixel, fixed-focus front camera. Both cameras are high resolution and record video in 1080p, with a 16:9 aspect ratio (widescreen).  Surface Book is also Windows Hello compatible with an infrared (IR) face-detection camera built in. |\n| Microphones | Two noise-canceling microphones ensure accurate audio recording and enhanced call quality. |\n| Stereo speakers | Two front-facing stereo speakers with Dolby® enhanced sound provide an immersive playback experience for all your music, podcasts, and audio books. |\n\n| Ports and connectors | Surface Book has the ports you expect from a full-feature laptop. Two full-size USB 3.0 ports Connect a USB accessory like a mouse, printer, Ethernet adapter, USB drive, or smartphone. SD card slot Use the full-size SD card slot with an SD card (sold separately) for extra storage and transferring files. Mini DisplayPort version 1.2a Share what’s on your Surface screen by connecting it to an HDTV, monitor, or projector. (Video adapters are sold separately.) 3.5 mm headset jack Plug in your favorite headset for a little more privacy when listening to music or conference calls. |\n| --- | --- |\n| Software | Windows 10 operating system Windows 10 provides a variety of options for entertainment and productivity whether you’re at school, at home, or on the go. |\n\n|  | Apps Surface Book comes with great built-in apps, and you can find more apps in the [Windows Store](http://windows.microsoft.com/en-us/windows-10/getstarted-explore-the-store) .  You can also use your favorite desktop apps on Surface Book. |\n| --- | --- |\n| Processor | The 6th Gen Intel® Core™ i5 or i7 processor provides the speed and power you need for smooth, fast performance. |\n| Memory and storage | Choose from various configurations up to 16 GB of RAM with 512 GB storage. |\n| Sensors | Six sensors—magnetometer, ambient light sensor, accelerometer, gyroscope, Hall effect, and Wi-Fi SAR—let apps do things like track motion and determine location. |	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:surface book features	[]	False	[{"DisplayOrder":0,"QnaId":30,"Qna":null,"DisplayText":"Power button"},{"DisplayOrder":1,"QnaId":31,"Qna":null,"DisplayText":"Clipboard"},{"DisplayOrder":2,"QnaId":32,"Qna":null,"DisplayText":"Keyboard"},{"DisplayOrder":3,"QnaId":33,"Qna":null,"DisplayText":"Surface Pen"},{"DisplayOrder":4,"QnaId":34,"Qna":null,"DisplayText":"Wi-Fi and Bluetooth"},{"DisplayOrder":5,"QnaId":35,"Qna":null,"DisplayText":"Cameras"},{"DisplayOrder":6,"QnaId":36,"Qna":null,"DisplayText":"Microphones"},{"DisplayOrder":7,"QnaId":37,"Qna":null,"DisplayText":"Stereo speakers"},{"DisplayOrder":8,"QnaId":38,"Qna":null,"DisplayText":"Ports and connectors"},{"DisplayOrder":9,"QnaId":39,"Qna":null,"DisplayText":"Software"},{"DisplayOrder":10,"QnaId":40,"Qna":null,"DisplayText":"Processor"},{"DisplayOrder":11,"QnaId":41,"Qna":null,"DisplayText":"Memory and storage"},{"DisplayOrder":12,"QnaId":42,"Qna":null,"DisplayText":"Sensors"}]	29	Surface
Power button	** Power button**\nis Press the power button to turn your Surface Book on. You can also use the power button to put your Surface Book to sleep and wake it when you’re ready to start working again.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	30	Surface
Clipboard	** Clipboard**\nis Detach the thin, light Clipboard from the keyboard for mobile computing and easy presentation in tablet mode.  Use the 13.5” full HD display, with its 3:2 aspect ratio and 3000 x 2000 resolution display, to watch HD movies, browse the web, and use your favorite apps.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	31	Surface
Keyboard	** Keyboard**\nis Mechanical friction attaches the Clipboard to the keyboard. The keyboard features a standard layout and backlit keys, with special shortcut and function keys to help you do common tasks more quickly.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	32	Surface
Surface Pen	** Surface Pen**\nis Write naturally with the included Surface Pen. Quickly jot down notes or capture screenshots in OneNote, even while your Surface is locked.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	33	Surface
Wi-Fi and Bluetooth	** Wi-Fi and Bluetooth**\nis Surface Book supports standard Wi-Fi protocols (802.11a/b/g/n/ac) and Bluetooth® 4.0. Connect to a wireless network and use Bluetooth devices such as mice, printers, and headsets.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	34	Surface
Cameras	** Cameras**\nis Surface Book features an 8-megapixel rear camera with autofocus and a 5-megapixel, fixed-focus front camera. Both cameras are high resolution and record video in 1080p, with a 16:9 aspect ratio (widescreen).  Surface Book is also Windows Hello compatible with an infrared (IR) face-detection camera built in.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	35	Surface
